Année de Year Date;Adjusted for Inflation Notes;Adjusted for Inflation Title;Format;Metric;Year;Value (For Charting);Adjusted for Inflation Flag;Year Date;Format Value # (Billion);Format Value # (Million);Total Value # (Billion);Total Value # (Million);Total Value For Year;Value (Actual);Year (copy)
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2010;263,7; (adjusted for inflation, 2023 dollars);2010;;€263,7M;€9,8B;;€9800,8B;263,7;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2011;266,2; (adjusted for inflation, 2023 dollars);2011;;€266,2M;€9,7B;;€9665,7B;266,2;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2012;252,9; (adjusted for inflation, 2023 dollars);2012;;€252,9M;€9,3B;;€9310,9B;252,9;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2013;248,1; (adjusted for inflation, 2023 dollars);2013;;€248,1M;€9,2B;;€9201,8B;248,1;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2014;244,2; (adjusted for inflation, 2023 dollars);2014;;€244,2M;€8,6B;;€8616,8B;244,2;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2015;260,9; (adjusted for inflation, 2023 dollars);2015;;€260,9M;€8,6B;;€8627,1B;260,9;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2016;272,7; (adjusted for inflation, 2023 dollars);2016;;€272,7M;€9,5B;;€9510,9B;272,7;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2017;288,5; (adjusted for inflation, 2023 dollars);2017;;€288,5M;€10,6B;;€10570,2B;288,5;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2018;346,5; (adjusted for inflation, 2023 dollars);2018;;€346,5M;€11,8B;;€11816,7B;346,5;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2019;335; (adjusted for inflation, 2023 dollars);2019;;€335,0M;€13,2B;;€13248,7B;335;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2020;312,3; (adjusted for inflation, 2023 dollars);2020;;€312,3M;€14,3B;;€14326,3B;312,3;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2021;344,7; (adjusted for inflation, 2023 dollars);2021;;€344,7M;€16,9B;;€16893,6B;344,7;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2022;398,2; (adjusted for inflation, 2023 dollars);2022;;€398,2M;€16,5B;;€16547,4B;398,2;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2023;410,9; (adjusted for inflation, 2023 dollars);2023;;€410,9M;€17,1B;;€17115,2B;410,9;2023
1973;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1973;1303,9; (adjusted for inflation, 2023 dollars);1973;€1,3B;;€13,8B;;€13839,3B;1303,9;1973
1974;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1974;1199; (adjusted for inflation, 2023 dollars);1974;€1,2B;;€13,6B;;€13595,4B;1199;1974
1975;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1975;1197,9; (adjusted for inflation, 2023 dollars);1975;€1,2B;;€13,5B;;€13527,7B;1197,9;1975
1976;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1976;1312,5; (adjusted for inflation, 2023 dollars);1976;€1,3B;;€14,7B;;€14657,2B;1312,5;1976
1977;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1977;1232,4; (adjusted for inflation, 2023 dollars);1977;€1,2B;;€17,6B;;€17602,4B;1232,4;1977
1978;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1978;1216,5; (adjusted for inflation, 2023 dollars);1978;€1,2B;;€19,3B;;€19307,5B;1216,5;1978
1979;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1979;1484,1; (adjusted for inflation, 2023 dollars);1979;€1,5B;;€15,4B;;€15426,1B;1484,1;1979
1980;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1980;924,5; (adjusted for inflation, 2023 dollars);1980;;€924,5M;€13,6B;;€13615,5B;924,5;1980
1981;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1981;859,5; (adjusted for inflation, 2023 dollars);1981;;€859,5M;€13,3B;;€13320,8B;859,5;1981
1982;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1982;893,6; (adjusted for inflation, 2023 dollars);1982;;€893,6M;€11,5B;;€11457,5B;893,6;1982
1983;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1983;823,9; (adjusted for inflation, 2023 dollars);1983;;€823,9M;€11,6B;;€11583,6B;823,9;1983
1984;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1984;876; (adjusted for inflation, 2023 dollars);1984;;€876,0M;€12,7B;;€12712,1B;876;1984
1985;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1985;795,7; (adjusted for inflation, 2023 dollars);1985;;€795,7M;€12,4B;;€12353,7B;795,7;1985
1986;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1986;634,1; (adjusted for inflation, 2023 dollars);1986;;€634,1M;€12,9B;;€12901,7B;634,1;1986
1987;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1987;545,3; (adjusted for inflation, 2023 dollars);1987;;€545,3M;€14,9B;;€14924,0B;545,3;1987
1988;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1988;464,7; (adjusted for inflation, 2023 dollars);1988;;€464,7M;€16,1B;;€16110,1B;464,7;1988
1989;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1989;286; (adjusted for inflation, 2023 dollars);1989;;€286,0M;€16,2B;;€16169,3B;286;1989
1990;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1990;220,1; (adjusted for inflation, 2023 dollars);1990;;€220,1M;€17,6B;;€17580,6B;220,1;1990
1991;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1991;143; (adjusted for inflation, 2023 dollars);1991;;€143,0M;€17,5B;;€17526,4B;143;1991
1992;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1992;144,2; (adjusted for inflation, 2023 dollars);1992;;€144,2M;€19,6B;;€19598,0B;144,2;1992
1993;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1993;108; (adjusted for inflation, 2023 dollars);1993;;€108,0M;€21,2B;;€21185,0B;108;1993
1994;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1994;97; (adjusted for inflation, 2023 dollars);1994;;€97,0M;€24,8B;;€24811,9B;97;1994
1995;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1995;93,4; (adjusted for inflation, 2023 dollars);1995;;€93,4M;€24,6B;;€24632,7B;93,4;1995
1996;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1996;92,2; (adjusted for inflation, 2023 dollars);1996;;€92,2M;€24,3B;;€24340,7B;92,2;1996
1997;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1997;67,6; (adjusted for inflation, 2023 dollars);1997;;€67,6M;€23,2B;;€23231,0B;67,6;1997
1998;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1998;48; (adjusted for inflation, 2023 dollars);1998;;€48,0M;€25,6B;;€25630,9B;48;1998
1999;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);1999;51; (adjusted for inflation, 2023 dollars);1999;;€51,0M;€26,7B;;€26674,7B;51;1999
2000;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2000;46,5; (adjusted for inflation, 2023 dollars);2000;;€46,5M;€25,3B;;€25345,2B;46,5;2000
2001;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2001;54; (adjusted for inflation, 2023 dollars);2001;;€54,0M;€23,7B;;€23650,3B;54;2001
2002;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2002;42,2; (adjusted for inflation, 2023 dollars);2002;;€42,2M;€21,4B;;€21367,8B;42,2;2002
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2003;35,6; (adjusted for inflation, 2023 dollars);2003;;€35,6M;€19,6B;;€19630,7B;35,6;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2004;32,1; (adjusted for inflation, 2023 dollars);2004;;€32,1M;€19,9B;;€19913,0B;32,1;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2005;20,6; (adjusted for inflation, 2023 dollars);2005;;€20,6M;€19,2B;;€19174,4B;20,6;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2006;15; (adjusted for inflation, 2023 dollars);2006;;€15,0M;€17,8B;;€17773,5B;15;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2007;5,9; (adjusted for inflation, 2023 dollars);2007;;€5,9M;€15,7B;;€15652,2B;5,9;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2008;4,1; (adjusted for inflation, 2023 dollars);2008;;€4,1M;€12,4B;;€12421,1B;4,1;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2009;3,6; (adjusted for inflation, 2023 dollars);2009;;€3,6M;€11,1B;;€11122,4B;3,6;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2010;3,2; (adjusted for inflation, 2023 dollars);2010;;€3,2M;€9,8B;;€9800,8B;3,2;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2011;6,2; (adjusted for inflation, 2023 dollars);2011;;€6,2M;€9,7B;;€9665,7B;6,2;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2012;6,3; (adjusted for inflation, 2023 dollars);2012;;€6,3M;€9,3B;;€9310,9B;6,3;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2013;3,9; (adjusted for inflation, 2023 dollars);2013;;€3,9M;€9,2B;;€9201,8B;3,9;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2014;7,1; (adjusted for inflation, 2023 dollars);2014;;€7,1M;€8,6B;;€8616,8B;7,1;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2015;7,4; (adjusted for inflation, 2023 dollars);2015;;€7,4M;€8,6B;;€8627,1B;7,4;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2016;6,2; (adjusted for inflation, 2023 dollars);2016;;€6,2M;€9,5B;;€9510,9B;6,2;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2017;7,6; (adjusted for inflation, 2023 dollars);2017;;€7,6M;€10,6B;;€10570,2B;7,6;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2018;6,9; (adjusted for inflation, 2023 dollars);2018;;€6,9M;€11,8B;;€11816,7B;6,9;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2019;8; (adjusted for inflation, 2023 dollars);2019;;€8,0M;€13,2B;;€13248,7B;8;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2020;7,4; (adjusted for inflation, 2023 dollars);2020;;€7,4M;€14,3B;;€14326,3B;7,4;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2021;8,9; (adjusted for inflation, 2023 dollars);2021;;€8,9M;€16,9B;;€16893,6B;8,9;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2022;5,8; (adjusted for inflation, 2023 dollars);2022;;€5,8M;€16,5B;;€16547,4B;5,8;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Vinyl Single;Value (Adjusted);2023;8,4; (adjusted for inflation, 2023 dollars);2023;;€8,4M;€17,1B;;€17115,2B;8,4;2023
